,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
S01003324,449,230,219,448,1,-,6,79.31
S01003325,779,352,427,779,-,-,9,89.6
S01003326,855,378,477,855,-,1,9,92.26
S01003327,605,320,285,599,6,3,6,103.93
S01003328,"1,035",579,456,"1,016",19,2,26,39.18
S01003329,809,380,429,809,-,1,21,39.2
S01003330,939,449,490,939,-,6,14,66.87
S01003331,642,303,339,642,-,1,8,84.73
S01003332,416,170,246,416,-,1,50,8.34
S01003333,919,447,472,919,-,3,16,57.24
S01003334,"1,006",465,541,"1,006",-,2,15,66.82
S01003335,650,403,247,649,1,-,5,141.03
S01003336,969,447,522,969,-,1,30,32.54
S01003337,"1,383",634,749,"1,283",100,3,68,20.45
S01003338,882,418,464,882,-,3,12,73.95
S01003339,770,358,412,770,-,1,11,73.08
S01003340,995,480,515,995,-,1,14,69.19
S01003341,949,466,483,949,-,5,31,30.37
S01003342,718,370,348,718,-,3,11,67.02
S01003343,733,325,408,733,-,2,10,70.44
S01003344,479,216,263,479,-,-,8,59.81
S01003345,967,434,533,967,-,1,17,57.13
S01003346,866,399,467,866,-,-,22,38.89
S01003347,952,440,512,952,-,-,39,24.53
S01003348,"1,014",560,454,994,20,4,30,34.01
S01003349,"1,367",610,757,"1,367",-,1,31,43.89
S01003350,893,418,475,893,-,2,14,65.37
S01003351,"1,109",567,542,"1,007",102,3,54,20.5
S01003352,"1,168",526,642,"1,168",-,2,18,64.24
S01003353,735,370,365,735,-,-,21,34.84
S01003354,612,278,334,604,8,-,18,33.83
S01003355,"1,054",495,559,"1,054",-,-,20,51.65
S01003356,859,412,447,859,-,-,5,186.02
S01003357,369,167,202,369,-,2,34,10.81
S01003358,"1,861","1,000",861,"1,622",239,8,24,78.17
S01003359,974,444,530,974,-,-,58,16.85
S01003360,730,349,381,730,-,3,25,29.17
S01003361,713,326,387,713,-,2,21,33.94
S01003362,728,323,405,680,48,-,15,49.45
S01003363,768,335,433,768,-,1,11,67.97
S01003364,671,329,342,662,9,-,11,60.97
S01003365,734,368,366,655,79,2,13,55.33
S01003366,740,440,300,651,89,1,6,131.7
S01003367,"1,213",624,589,"1,213",-,4,69,17.49
S01003368,"2,295","1,194","1,101","1,501",794,6,26,87.92
S01003369,625,276,349,625,-,1,12,51.83
S01003370,771,388,383,771,-,3,4,200.29
S01003371,668,337,331,668,-,2,4,163.83
S01003372,799,370,429,749,50,-,17,47.29
S01003373,"2,232","1,361",871,"2,204",28,5,64,34.91
S01003374,492,215,277,492,-,2,4,113.9
S01003375,961,462,499,951,10,2,39,24.89
S01003376,526,242,284,526,-,-,6,95.33
S01003377,735,340,395,723,12,1,22,32.72
S01003378,841,399,442,841,-,2,14,59.35
S01003379,678,292,386,678,-,2,19,35.03
S01003380,"1,291",670,621,"1,279",12,5,11,117.87
S01003381,728,339,389,728,-,-,19,37.85
S01003382,"1,603",885,718,"1,603",-,1,36,44.56
S01003383,913,397,516,913,-,2,18,51.89
S01003384,965,461,504,965,-,3,17,56.49
S01003385,834,428,406,834,-,-,4,219.72
S01003386,689,312,377,652,37,-,18,38.79
S01003387,793,400,393,793,-,1,6,126.96
S01003388,"1,038",499,539,"1,038",-,-,27,38.82
S01003389,"1,019",506,513,"1,019",-,1,4,253.95
S01003390,"1,218",544,674,"1,218",-,1,22,56.5
S01003391,716,353,363,716,-,-,6,121.28
S01003392,826,413,413,826,-,1,10,86.69
S01003393,883,386,497,832,51,-,19,46.59
S01003394,637,283,354,559,78,-,72,8.83
S01003395,644,324,320,644,-,-,4,163.95
S01003396,814,426,388,759,55,-,5,180.65
S01003397,"1,045",493,552,"1,045",-,-,15,71.24
S01003398,793,375,418,793,-,-,8,98.47
S01003399,"1,873",977,896,"1,012",861,9,32,58
S01003400,744,303,441,700,44,1,16,47.01
S01003401,846,337,509,769,77,2,15,55.3
S01003402,949,439,510,949,-,4,20,46.84
S01003403,"1,144",629,515,"1,144",-,4,70,16.44
S01003404,569,240,329,569,-,-,9,61.8
S01003405,733,348,385,733,-,-,16,47.09
S01003406,691,316,375,691,-,1,4,168.86
S01003407,851,385,466,851,-,-,19,45.5
S01003408,650,290,360,650,-,3,3,197.05
S01003409,"1,535",732,803,"1,422",113,2,20,78
S01003410,"1,452",748,704,"1,397",55,4,67,21.71
S01003411,757,325,432,757,-,-,14,54.71
S01003412,862,429,433,862,-,-,25,34.24
S01003413,741,338,403,741,-,-,15,49.58
S01003414,442,190,252,442,-,1,12,35.74
S01003415,"1,269",680,589,766,503,2,15,85.61
S01003416,845,427,418,844,1,1,55,15.24
S01003417,940,472,468,940,-,1,21,43.91
S01003418,920,433,487,920,-,3,18,51.5
S01003419,959,455,504,959,-,-,122,7.85
S01003420,464,254,210,425,39,-,37,12.69
S01003421,923,432,491,923,-,-,14,64.13
S01003422,790,372,418,790,-,-,7,108.05
S01003423,779,435,344,779,-,1,6,128.71
S01003424,974,452,522,974,-,-,4,216.98
S01003425,838,432,406,838,-,1,4,188.96
S01003426,"1,019",496,523,980,39,3,61,16.72
S01003427,941,438,503,908,33,1,19,48.88
S01003428,843,461,382,843,-,3,28,30.34
S01003429,"1,525",694,831,736,789,7,10,152.66
S01003430,783,443,340,782,1,-,10,81.73
S01003431,696,331,365,696,-,-,8,92.5
S01003432,880,442,438,874,6,1,5,162.57
S01003433,"1,165",588,577,"1,129",36,4,20,57.41
S01003434,805,362,443,805,-,-,26,30.43
S01003435,731,342,389,731,-,-,19,37.99
S01003436,555,268,287,525,30,1,205,2.7
S01003437,816,416,400,810,6,5,7,112.75
S01003438,"1,411",642,769,"1,002",409,3,23,62.45
S01003439,"1,153",635,518,"1,100",53,1,32,36.43
S01003440,480,224,256,480,-,-,12,41.18
S01003441,"1,339",681,658,"1,326",13,-,53,25.34
S01003442,"1,013",480,533,"1,013",-,-,14,71.4
S01003443,970,461,509,970,-,3,13,74.56
S01003444,777,344,433,777,-,-,34,23.1
S01003445,"1,074",527,547,"1,074",-,2,13,85.18
S01003446,452,244,208,446,6,2,3,140.28
S01003447,"2,551","1,198","1,353",905,"1,646",22,34,74.65
S01003448,705,318,387,705,-,1,17,41.86
S01003449,831,399,432,728,103,2,4,185.14
S01003450,976,511,465,976,-,3,9,110.6
S01003451,916,474,442,916,-,-,25,37.13
S01003452,"1,407","1,100",307,583,824,-,37,38.07
S01003453,"1,317",725,592,"1,263",54,7,24,54.44
S01003454,664,322,342,664,-,1,4,164.21
S01003455,795,373,422,795,-,1,27,29.09
S01003456,255,119,136,255,-,-,22,11.72
S01003457,"1,005",551,454,"1,005",-,2,5,187.84
S01003458,"1,016",489,527,"1,016",-,5,57,17.94
S01003459,890,419,471,842,48,-,33,27.25
S01003460,"1,057",499,558,"1,054",3,1,49,21.46
S01003461,764,341,423,764,-,2,22,34.75
S01003462,551,264,287,551,-,1,7,82.01
S01003463,692,356,336,692,-,3,8,82.66
S01003464,974,499,475,974,-,3,7,137.09
S01003465,"2,510","1,303","1,207","2,510",-,5,35,70.82
S01003466,787,389,398,771,16,2,9,91.25
S01003467,714,338,376,714,-,-,21,33.91
S01003468,839,422,417,839,-,1,4,233.96
S01003469,"1,016",494,522,"1,008",8,3,8,129.68
S01003470,"1,139",567,572,"1,139",-,3,6,206.54
S01003471,776,349,427,776,-,-,17,45.28
S01003472,816,407,409,816,-,7,4,224.36
S01003473,969,515,454,969,-,6,54,18.06
S01003474,690,311,379,690,-,1,3,251.69
S01003475,845,435,410,800,45,1,6,134.73
S01003476,"1,136",544,592,"1,136",-,3,21,55.32
S01003477,"1,076",541,535,"1,076",-,2,6,177.38
S01003478,814,412,402,814,-,3,4,180.94
S01003479,844,383,461,844,-,5,3,295.68
S01003480,834,403,431,834,-,1,28,29.43
S01003481,"1,033",497,536,"1,033",-,3,11,92.81
S01003482,669,361,308,658,11,2,4,166.6
S01003483,533,249,284,533,-,-,6,85.7
S01003484,"1,127",527,600,997,130,1,33,34.23
S01003485,890,442,448,890,-,4,4,200.12
S01003486,"1,033",457,576,"1,033",-,-,108,9.6
S01003487,"1,075",557,518,"1,003",72,6,8,135.01
S01003488,695,320,375,642,53,-,69,10.07
S01003489,"1,397",642,755,"1,397",-,3,40,34.89
S01003490,625,312,313,625,-,3,4,173.15
S01003491,85,32,53,85,-,-,5,18.7
S01003492,"1,077",592,485,"1,060",17,2,89,12.09
S01003493,831,392,439,831,-,1,8,105.28
S01003494,815,371,444,778,37,1,6,142.65
S01003495,936,472,464,936,-,2,90,10.36
S01003496,999,476,523,984,15,6,11,90.98
S01003497,964,435,529,958,6,2,7,131.83
S01003498,"1,019",511,508,"1,004",15,4,13,81.33
S01003499,"1,006",513,493,"1,006",-,2,6,159.79
S01003500,676,360,316,676,-,-,3,268.65
S01003501,708,357,351,708,-,2,4,162.48
S01003502,"1,848",888,960,"1,848",-,3,828,2.23
S01003503,700,321,379,700,-,4,5,141.7
S01003504,936,415,521,858,78,5,7,131.12
S01003506,"1,040",506,534,"1,024",16,4,12,84.07
S01003507,522,281,241,516,6,1,12,43.34
S01003508,807,404,403,807,-,-,7,112.56
S01003509,950,430,520,950,-,12,9,107.28
S01003510,407,216,191,407,-,-,38,10.77
S01003511,"1,101",525,576,"1,101",-,13,17,65.2
S01003512,641,275,366,641,-,-,12,54.15
S01003513,730,310,420,730,-,3,3,232.66
S01003514,897,381,516,897,-,9,5,164.64
S01003515,631,296,335,631,-,-,12,54.72
S01003516,667,310,357,667,-,-,34,19.79
S01003517,752,384,368,752,-,4,8,89.49
S01003518,"1,032",506,526,"1,032",-,1,10,108
S01003519,542,272,270,542,-,-,9,61.82
S01003520,717,333,384,717,-,6,6,125.49
S01003521,531,244,287,531,-,1,4,120.41
S01003522,830,411,419,822,8,2,6,131.56
S01003523,657,304,353,657,-,-,18,36.13
S01003524,"1,072",507,565,"1,056",16,11,13,85.61
S01003525,"1,090",488,602,"1,052",38,5,12,89.76
S01003526,"1,013",483,530,992,21,10,15,67.79
S01003527,889,424,465,882,7,19,30,29.88
S01003528,516,244,272,516,-,3,6,84.99
S01003529,547,244,303,547,-,-,8,70.02
S01003530,821,393,428,821,-,4,4,196.18
S01003531,778,374,404,778,-,1,63,12.26
S01003532,"1,088",511,577,"1,085",3,5,24,44.48
S01003533,340,163,177,340,-,-,1,256.49
S01003534,903,441,462,903,-,3,29,31.47
S01003535,708,348,360,708,-,2,6,116.79
S01003536,"1,031",502,529,"1,031",-,10,8,132.2
S01003537,807,363,444,797,10,-,7,114.15
S01003538,630,283,347,624,6,1,26,24.33
S01003539,993,446,547,993,-,7,10,96.32
S01003540,419,214,205,419,-,1,10,40.89
S01003541,935,446,489,935,-,3,12,75.28
S01003542,786,381,405,783,3,10,15,53.8
S01003543,706,375,331,706,-,3,9,78.19
S01003544,529,261,268,529,-,6,4,125.33
S01003545,789,405,384,789,-,9,9,86.22
S01003546,"1,004",503,501,936,68,1,44,22.64
S01003547,767,385,382,767,-,8,7,115.95
S01003549,800,367,433,800,-,2,9,88.9
S01003550,647,306,341,647,-,-,10,62.38
S01003551,658,290,368,658,-,-,9,76.16
S01003552,"1,036",508,528,"1,036",-,12,7,146.56
S01003553,654,323,331,636,18,-,19,34.46
S01003554,761,381,380,761,-,2,5,155.76
S01003555,725,359,366,725,-,2,18,40.01
S01003556,700,341,359,700,-,15,12,57.05
S01003557,783,377,406,783,-,1,12,65.33
S01003558,"1,036",494,542,990,46,8,11,96
S01003559,978,468,510,967,11,14,11,85.89
S01003560,"1,264",575,689,"1,264",-,13,26,48.83
S01003561,"1,248",648,600,955,293,5,23,53.79
S01003562,623,293,330,623,-,2,4,154.72
S01003563,530,229,301,530,-,-,8,68.81
S01003564,721,343,378,714,7,-,19,38.53
S01003565,858,394,464,858,-,-,15,56.91
S01003566,725,358,367,725,-,3,12,60.1
S01003567,"1,036",464,572,989,47,3,37,27.75
S01003568,729,342,387,676,53,14,17,42.18
S01003569,717,322,395,717,-,6,17,43.11
S01003570,736,367,369,730,6,9,23,31.56
S01003571,880,426,454,880,-,-,11,80.31
S01003572,"1,083",515,568,"1,030",53,3,29,36.91
S01003573,924,403,521,924,-,1,14,64.38
S01003574,"1,028",500,528,"1,028",-,3,20,51.79
S01003575,854,439,415,854,-,7,7,122.31
S01003576,845,424,421,759,86,-,48,17.78
S01003577,947,425,522,947,-,3,32,29.8
S01003578,217,102,115,217,-,8,10,22.25
S01003579,868,403,465,857,11,2,12,73.5
S01003580,"1,018",499,519,"1,018",-,2,15,69.63
S01003581,"2,299","1,094","1,205","1,216","1,083",6,22,102.56
S01003582,671,303,368,671,-,1,17,39.75
S01003583,566,248,318,566,-,-,10,58.42
S01003584,803,425,378,803,-,4,4,189.23
S01003585,675,345,330,670,5,-,7,92.39
S01003586,"1,053",545,508,"1,053",-,4,13,82.29
S01003587,"1,104",545,559,"1,104",-,24,21,53
S01003588,635,303,332,635,-,1,11,57.08
S01003589,"1,639",761,878,"1,021",618,14,28,57.83
S01003590,741,366,375,741,-,3,18,42.11
S01003591,"1,301",628,673,"1,301",-,20,49,26.72
S01003592,"1,423",633,790,"1,423",-,1,38,37.1
S01003593,634,317,317,634,-,1,17,37.33
S01003594,"1,013",469,544,976,37,14,24,43.09
S01003595,919,409,510,918,1,1,32,28.43
S01003596,783,488,295,783,-,-,8,97.48
S01003597,714,349,365,714,-,4,22,32.07
S01003598,690,317,373,690,-,-,17,41.76
S01003599,969,456,513,969,-,5,43,22.69
S01003600,842,433,409,842,-,-,6,150.38
S01003601,817,386,431,817,-,1,8,105.75
S01003602,628,285,343,628,-,-,13,47.41
S01003603,864,438,426,829,35,1,12,72.37
S01003604,837,369,468,695,142,-,16,53.55
S01003605,666,353,313,664,2,1,6,105.12
S01003606,885,385,500,885,-,-,49,18.22
S01003607,531,244,287,531,-,-,10,52.24
S01003608,557,252,305,557,-,1,10,56.59
S01003609,"1,066",529,537,"1,066",-,18,25,42.41
S01003610,986,417,569,973,13,3,11,93.74
S01003611,850,370,480,842,8,-,33,25.96
S01003612,883,405,478,837,46,4,16,55.13
S01003613,"1,454",696,758,"1,421",33,8,334,4.35
S01003614,547,284,263,547,-,5,17,32.54
S01003615,854,387,467,854,-,-,15,58.32
S01003616,869,431,438,869,-,3,13,66.8
S01003617,828,450,378,828,-,-,14,61.08
S01003618,796,370,426,796,-,7,18,44.06
S01003619,816,360,456,816,-,6,11,71.62
S01003620,"1,025",490,535,"1,025",-,10,17,58.58
S01003621,939,429,510,939,-,-,19,49.16
S01003622,813,366,447,813,-,1,14,57.23
S01003623,915,457,458,915,-,10,13,71.95
S01003624,"1,555",698,857,"1,438",117,4,44,35.25
S01003625,350,165,185,350,-,-,10,35.38
S01003626,808,362,446,739,69,1,32,25.22
S01003627,621,307,314,621,-,2,5,137.76
S01003628,739,352,387,690,49,5,35,21.38
S01003629,759,361,398,759,-,2,31,24.56
S01003630,771,364,407,771,-,-,12,62.73
S01003631,"1,265",603,662,"1,265",-,3,22,58.8
S01003632,949,438,511,949,-,5,15,62.32
S01003633,"1,267",585,682,"1,267",-,8,42,30
S01003634,"1,027",495,532,949,78,3,46,22.23
S01003635,559,290,269,559,-,-,13,43.31
S01003636,923,433,490,923,-,-,15,62.84
S01003637,"1,048",447,601,"1,015",33,2,18,58.17
S01003638,758,380,378,758,-,4,16,48.06
S01003639,779,365,414,779,-,-,15,51.41
S01003640,962,439,523,962,-,3,33,28.8
S01003641,736,362,374,736,-,-,12,58.95
S01003642,851,384,467,789,62,2,15,55.91
S01003643,682,314,368,682,-,-,29,23.83
S01003644,966,442,524,880,86,2,60,16.07
S01003645,539,248,291,539,-,1,9,60.42
S01003646,899,507,392,899,-,2,3,329.57
S01003647,724,321,403,724,-,4,19,37.63
S01003648,820,392,428,820,-,4,8,98.82
S01003649,967,454,513,967,-,3,20,48.22
S01003650,742,356,386,742,-,1,9,85.29
S01003651,732,343,389,732,-,3,13,57.33
S01003652,733,323,410,733,-,2,8,94.71
S01003653,715,311,404,708,7,1,33,21.38
S01003654,"1,123",500,623,943,180,4,15,75.44
S01003655,660,294,366,660,-,2,13,48.93
S01003656,878,404,474,878,-,3,37,23.83
S01003657,831,382,449,793,38,-,21,39.91
S01003658,859,402,457,859,-,1,15,56.63
S01003659,756,349,407,756,-,1,13,59.13
S01003660,976,480,496,976,-,1,15,66.29
S01003661,947,429,518,947,-,5,53,17.9
S01003662,642,304,338,642,-,-,50,12.88
S01003663,585,288,297,585,-,2,8,74.52
S01003664,506,236,270,506,-,-,15,33.49
S01003665,645,337,308,645,-,1,6,109.51
S01003666,663,306,357,663,-,1,9,77.61
S01003667,838,410,428,838,-,7,13,62.13
S01003668,783,349,434,718,65,3,18,43.51
S01003669,927,410,517,927,-,2,42,21.93
S01003670,950,412,538,950,-,3,9,102.47
S01003671,666,306,360,666,-,3,22,30.78
S01003672,751,339,412,751,-,1,12,61.29
S01003673,316,138,178,316,-,-,9,35.16
S01003674,783,363,420,783,-,1,15,53.68
S01003675,879,420,459,879,-,4,53,16.61
S01003676,"1,198",537,661,"1,191",7,1,32,37.52
S01003677,692,308,384,692,-,-,13,53.41
S01003678,685,328,357,685,-,3,18,37.12
S01003679,"1,028",510,518,"1,028",-,-,15,69.66
S01003680,623,277,346,623,-,1,12,51.65
S01003681,565,262,303,565,-,2,11,52.12
S01003682,"1,043",480,563,981,62,6,20,51.71
S01003683,623,290,333,616,7,2,15,40.92
S01003684,794,359,435,794,-,2,13,59.68
S01003685,550,239,311,550,-,-,7,75.63
S01003686,948,442,506,948,-,2,17,56.62
S01003687,657,321,336,657,-,-,6,108.05
S01003688,883,392,491,883,-,-,24,37.33
S01003689,667,317,350,667,-,1,8,86.99
S01003690,942,447,495,942,-,2,12,81.68
S01003691,"1,028",484,544,"1,028",-,1,16,66.07
S01003692,"1,022",460,562,"1,022",-,6,23,44.67
S01003693,550,251,299,550,-,-,9,63.89
S01003694,986,476,510,986,-,1,18,53.59
S01003695,"1,125",477,648,919,206,5,103,10.93
S01003696,"1,036",477,559,"1,036",-,2,15,68.78
S01003697,930,463,467,930,-,2,49,18.82
S01003698,"1,010",473,537,"1,010",-,2,23,43.38
S01003699,938,445,493,938,-,-,13,74.83
S01003700,980,439,541,980,-,1,11,87.85
S01003701,991,506,485,991,-,1,15,66.09
S01003702,822,381,441,822,-,6,13,63.74
S01003703,"1,052",483,569,932,120,3,56,18.83
S01003704,655,282,373,655,-,2,20,32.04
S01003705,906,383,523,906,-,3,18,50.56
S01003706,749,338,411,749,-,3,14,55.07
S01003707,"1,078",492,586,"1,078",-,1,22,49.38
S01003708,964,446,518,964,-,-,10,98.61
S01003709,856,420,436,804,52,-,24,34.95
S01003710,"1,179",579,600,"1,179",-,-,721,1.64
S01003711,944,419,525,944,-,3,13,69.99
S01003712,928,422,506,928,-,1,23,39.69
S01003713,512,227,285,481,31,2,26,19.43
S01003714,628,290,338,628,-,1,23,27.23
S01003715,803,363,440,803,-,2,24,33.26
S01003716,575,240,335,575,-,-,27,21.06
S01003717,839,375,464,839,-,1,18,46.8
S01003718,749,347,402,749,-,2,57,13.1
S01003719,660,324,336,624,36,11,"50,051",0.01
S01003720,989,499,490,962,27,24,"74,601",0.01
S01003721,814,397,417,787,27,8,414,1.97
S01003722,896,408,488,889,7,7,79,11.34
S01003723,519,252,267,504,15,10,"17,822",0.03
S01003724,769,363,406,750,19,3,"8,819",0.09
S01003725,614,307,307,557,57,12,61,10.04
S01003726,656,331,325,656,-,7,14,48.34
S01003727,748,356,392,748,-,8,35,21.55
S01003728,558,257,301,558,-,19,"12,957",0.04
S01003729,868,437,431,858,10,7,26,32.78
S01003730,644,305,339,644,-,8,8,77.83
S01003731,617,318,299,581,36,6,46,13.34
S01003732,945,457,488,945,-,17,35,27.01
S01003733,870,420,450,870,-,8,15,58
S01003734,709,331,378,709,-,11,30,23.62
S01003735,820,364,456,777,43,9,247,3.32
S01003736,799,375,424,799,-,8,16,48.55
S01003737,611,287,324,611,-,11,115,5.31
S01003738,767,395,372,757,10,19,116,6.62
S01003739,531,262,269,531,-,17,"37,407",0.01
S01003740,618,330,288,611,7,16,"66,921",0.01
S01003741,946,462,484,922,24,28,"71,210",0.01
S01003742,711,348,363,698,13,12,373,1.91
S01003743,557,281,276,545,12,7,"94,629",0.01
S01003744,665,339,326,645,20,12,"91,555",0.01
S01003745,806,389,417,794,12,6,62,13.09
S01003746,837,392,445,828,9,25,"33,481",0.02
S01003747,"1,094",514,580,"1,067",27,19,149,7.34
S01003748,591,293,298,561,30,4,81,7.33
S01003749,885,429,456,882,3,12,43,20.41
S01003750,715,358,357,699,16,18,"38,536",0.02
S01003751,"1,108",558,550,"1,005",103,7,"18,305",0.06
S01003752,913,438,475,846,67,11,"17,186",0.05
S01003753,"1,105",537,568,"1,082",23,22,"68,339",0.02
S01003754,848,411,437,840,8,5,28,29.91
S01003755,"1,626",811,815,"1,517",109,22,889,1.83
S01003756,905,445,460,880,25,9,"17,809",0.05
S01003757,608,319,289,602,6,7,"46,177",0.01
S01003758,954,461,493,952,2,17,"28,422",0.03
S01003759,628,309,319,626,2,8,"2,607",0.24
S01003760,840,408,432,819,21,12,"17,053",0.05
S01003761,957,481,476,951,6,15,"27,804",0.03
S01003762,"1,090",562,528,"1,088",2,11,"60,246",0.02
S01003763,912,473,439,880,32,12,763,1.2
S01003764,878,428,450,864,14,12,35,25.04
S01003765,649,334,315,648,1,9,119,5.43
S01003766,738,348,390,727,11,3,31,23.52
S01003767,812,367,445,733,79,8,64,12.61
S01003768,628,314,314,627,1,12,"33,111",0.02
S01003769,946,458,488,941,5,19,95,10
S01003770,819,402,417,819,-,19,"10,014",0.08
S01003771,757,389,368,754,3,20,"19,716",0.04
S01003772,606,302,304,600,6,8,"13,819",0.04
S01003773,692,339,353,683,9,22,"40,658",0.02
S01003774,760,362,398,723,37,16,"5,193",0.15
S01003775,916,455,461,909,7,11,"77,546",0.01
S01003776,700,361,339,695,5,16,"7,008",0.1
S01003777,"1,114",568,546,"1,114",-,28,"5,052",0.22
S01003778,"3,225","1,585","1,640","3,225",-,34,"6,327",0.51
S01003779,501,239,262,499,2,22,"16,825",0.03
S01003780,"1,074",535,539,983,91,24,"5,140",0.21
S01003781,"1,129",549,580,"1,129",-,8,292,3.87
S01003782,621,325,296,621,-,16,"26,714",0.02
S01003783,"1,234",622,612,"1,170",64,15,"1,307",0.94
S01003784,"1,655",797,858,"1,655",-,24,113,14.7
S01003785,809,386,423,809,-,15,24,34.2
S01003786,891,441,450,891,-,23,50,17.86
S01003787,591,298,293,591,-,10,50,11.85
S01003788,708,325,383,676,32,11,33,21.68
S01003789,494,248,246,494,-,18,15,33.57
S01003790,570,277,293,570,-,1,10,58.91
S01003791,824,418,406,824,-,5,17,49.67
S01003792,"2,286","1,109","1,177","2,280",6,26,611,3.74
S01003793,542,269,273,542,-,5,10,55.99
S01003794,690,326,364,639,51,16,61,11.4
S01003795,648,324,324,648,-,21,"3,265",0.2
S01003796,673,299,374,673,-,3,9,72.06
S01003797,925,454,471,925,-,4,11,81.29
S01003798,846,412,434,846,-,21,34,24.92
S01003799,756,364,392,756,-,9,14,53.28
S01003800,633,289,344,621,12,9,108,5.84
S01003801,816,378,438,816,-,9,16,52.5
S01003802,781,374,407,781,-,7,12,63.37
S01003803,732,378,354,732,-,6,"2,641",0.28
S01003804,620,307,313,620,-,9,15,40.22
S01003805,"1,202",543,659,"1,139",63,17,106,11.32
S01003806,698,316,382,698,-,10,27,25.98
S01003807,904,426,478,904,-,15,14,62.35
S01003808,936,435,501,900,36,17,34,27.4
S01003809,674,329,345,665,9,4,18,36.99
S01003810,908,415,493,818,90,23,47,19.45
S01003811,687,329,358,687,-,9,43,15.92
S01003812,958,448,510,956,2,8,22,43.37
S01003813,856,405,451,856,-,10,43,19.72
S01003814,786,385,401,761,25,14,36,21.64
S01003815,842,431,411,778,64,6,34,24.7
S01003816,986,464,522,986,-,8,30,32.76
S01003817,"1,035",489,546,"1,035",-,5,30,34.9
S01003818,803,395,408,803,-,9,16,48.97
S01003819,"2,446","1,151","1,295","2,446",-,37,355,6.88
S01003820,"1,011",520,491,904,107,21,16,64.72
S01003821,763,365,398,763,-,2,17,45.74
S01003822,666,304,362,546,120,4,53,12.57
S01003823,977,458,519,914,63,23,31,31.95
S01003824,816,419,397,792,24,8,21,38.43
S01003825,867,431,436,867,-,12,21,41.46
S01003826,749,368,381,719,30,10,68,11.07
S01003827,817,389,428,808,9,15,22,37.41
S01003828,"1,145",548,597,"1,100",45,20,282,4.06
S01003829,665,335,330,665,-,2,18,36.47
S01003830,901,433,468,901,-,3,16,55.18
S01003831,584,276,308,584,-,11,14,41.39
S01003832,944,500,444,904,40,29,41,23.08
S01003833,537,278,259,519,18,1,8,71.23
S01003834,651,322,329,651,-,9,18,35.26
S01003835,534,266,268,534,-,3,19,27.6
S01003836,513,268,245,513,-,3,23,22.73
S01003837,836,390,446,785,51,3,26,32.58
S01003838,576,273,303,576,-,8,11,52.17
S01003839,648,295,353,648,-,3,20,33.03
S01003840,696,334,362,616,80,7,17,39.84
S01003841,609,310,299,609,-,9,"13,017",0.05
S01003842,758,364,394,758,-,9,271,2.8
S01003843,953,468,485,953,-,16,"2,683",0.36
S01003844,736,359,377,736,-,10,20,37.33
S01003845,"1,140",568,572,"1,121",19,4,31,36.39
S01003846,757,371,386,754,3,16,"32,382",0.02
S01003847,608,302,306,606,2,8,30,20.21
S01003848,669,325,344,669,-,14,23,29.43
S01003849,"1,015",493,522,"1,015",-,-,12,85.53
S01003850,522,257,265,522,-,4,38,13.64
S01003851,822,405,417,822,-,21,171,4.8
S01003852,593,291,302,556,37,13,36,16.65
S01003853,"1,253",676,577,"1,233",20,7,432,2.9
S01003854,578,268,310,568,10,7,70,8.26
S01003855,978,470,508,978,-,1,36,27.17
S01003856,765,364,401,765,-,5,32,24.04
S01003857,783,388,395,783,-,16,"6,967",0.11
S01003858,534,272,262,534,-,-,7,74.76
S01003859,609,297,312,609,-,13,25,24.71
S01003860,672,335,337,665,7,4,15,45.01
S01003861,776,409,367,776,-,4,24,32.43
S01003862,741,352,389,741,-,5,27,27.89
S01003863,686,330,356,686,-,17,47,14.67
S01003864,921,437,484,921,-,20,70,13.15
S01003865,996,502,494,977,19,17,"2,629",0.38
S01003866,967,492,475,963,4,10,"16,120",0.06
S01003867,"1,357",670,687,"1,329",28,7,97,13.96
S01003868,691,333,358,691,-,24,"3,534",0.2
S01003869,712,365,347,692,20,12,"56,235",0.01
S01003870,"1,046",528,518,"1,046",-,15,96,10.93
S01003871,771,369,402,756,15,22,"18,024",0.04
S01003872,902,453,449,899,3,15,"3,624",0.25
S01003873,"1,122",558,564,"1,072",50,31,"13,794",0.08
S01003874,831,472,359,712,119,12,"4,704",0.18
S01003875,679,353,326,677,2,8,"3,396",0.2
S01003876,723,383,340,723,-,16,"2,667",0.27
S01003877,688,351,337,676,12,19,"2,705",0.25
S01003878,"1,089",518,571,"1,089",-,12,42,26.23
S01003879,778,372,406,778,-,19,46,16.82
S01003880,867,397,470,867,-,12,41,21.21
S01003881,887,425,462,887,-,23,"3,128",0.28
S01003882,500,253,247,500,-,-,13,37.83
S01003883,535,277,258,535,-,4,22,24.13
S01003884,766,348,418,766,-,7,19,41.19
S01003885,654,314,340,654,-,7,23,28.22
S01003886,519,247,272,519,-,6,17,30.62
S01003887,"1,032",483,549,926,106,8,37,27.72
S01003888,"1,633",805,828,"1,626",7,34,"5,115",0.32
S01003889,547,262,285,546,1,5,33,16.47
S01003890,663,296,367,663,-,17,26,25.37
S01003891,731,352,379,731,-,12,19,38.02
S01003892,641,296,345,641,-,5,32,19.97
S01003893,633,299,334,630,3,14,36,17.48
